date,Midwest,National,Northeast,South,West,date_period
2022-01-01,17.334992834206012,17.334992834206012,17.973922977459853,14.624984507067124,17.641028237134947,All Results
2022-01-08,20.11513196592966,23.768241318096752,21.87883883278363,25.06350251123296,35.4161179578466,All Results
2022-01-15,18.035032513236438,23.280967467579675,26.855259756311067,23.628985161173222,34.592447821017274,All Results
2022-01-22,17.257180568276,19.464151616342928,22.991741610923548,16.29128314602023,34.33472233315361,All Results
2022-01-29,11.476882150156104,13.779794534552098,14.121119504960893,11.849541009477328,23.12694453295329,All Results
2022-02-05,8.200510340750322,9.15901797674715,8.90969699276824,8.014553607549937,11.762183310677461,All Results
2022-02-12,5.567824077033309,5.946715921601042,6.799833696581248,4.868609032606048,6.605675417591501,All Results
2022-02-19,4.017602916310168,3.8960223289267075,4.719946466164618,3.4655010936304707,3.679514246496768,All Results
2022-02-26,2.690372231371954,2.552763713387602,3.446059812292444,2.3206648517856503,2.1452308248758785,All Results
2022-03-05,1.966423834395775,1.6886296770984057,2.413702840741707,1.2167662690920475,1.338375324001033,All Results
2022-03-12,1.6698193036220368,1.3671087317422859,1.5976387318751,1.1748526126242724,0.9764395929760942,All Results
2022-03-19,1.3332872736331058,1.1481255002633006,1.3558150005378893,1.0,0.8093706774685693,All Results
2022-03-26,1.5122722482471476,1.253742419942571,3.5424712880708618,0.9841093029660707,0.8380184272900397,All Results
2022-04-02,1.2531940840768907,1.2155991369481507,4.582024979076081,1.0773958463787616,1.0409015493399398,All Results
2022-04-09,1.498204003727984,1.5486192572723403,6.0590087494161144,1.4245953084267315,1.2938133157692224,All Results
2022-04-16,2.165499511720942,2.0776683816051644,5.055935776341184,1.7198281575697205,1.8368284163019648,All Results
2022-04-23,2.9854804444478322,3.173440960328487,7.593819344066353,2.859059113577659,2.985208172412159,All Results
2022-04-30,4.344438865975042,3.8646794960798365,8.513384513655101,2.699096423085499,2.3645584088180156,All Results
2022-05-07,5.520551487513726,4.961753236391903,9.191269917999568,3.8121787979780315,3.8425937950419042,All Results
2022-05-14,6.552578650661054,5.66719310973396,5.647992616493562,4.703710910920893,5.032438701621569,All Results
2022-05-21,7.006180081975518,6.68975809010009,6.949958644293522,6.0071118922779805,5.96126724881317,All Results
2022-05-28,7.406295669285976,7.227109169298075,6.502191671689289,6.375436786084622,8.189266428483945,All Results
2022-06-04,6.914297968914666,7.211432025016807,4.419682899139588,6.588622056563068,9.695826044787127,All Results
2022-06-11,6.8909999240596065,6.836462710527197,3.0780023870937434,6.200194865774063,9.690468349984098,All Results
2022-06-18,6.533699113051071,6.650997933819186,4.259139216666573,5.668260225332566,9.254954277202172,All Results
2022-06-25,6.898818045225714,7.128568283117076,3.0963803790362863,6.089863421202109,10.887877069041153,All Results
